,,,,
,성능 평가 지표,,,
,52,연세대학교 학점교류에 대해 문의하려는데 문의처를 알려주세요., 연세대 학사지원팀 (02-2123-2095),
,53,서울과학기술대학교 학점교류에 대해 문의하고 싶습니다, 문의 : 서울과학기술대학교 학사팀 (02) 970-7174~5,
,54,조기졸업시 제출 서류에 대해 알려주세요.,조기졸업 신청서 1부 학업성적표(열람용) 1부,
,55,부전공 이수요건에 대해 알려주세요.,"부전공 이수요건: 전공학점 21학점 이상 수료자(전공필수 9학점 이상) 단, 2019학년도 2학기 이후 신청자는 24학점 이상 이수",
,56,강의평가 방법에 대해 알려주세요.,온라인 평가(종합정보시스템 > 학사지원 > 강좌정보 > 강의평가),
,57,예비군 훈련장소에 대해 알려주세요.,파주 예비군훈련장(파주시 월롱면 덕은리 117-7),
,58,서울대학교 학점교류에 대해 어디로 문의해야하나요?,문의처 : 서울대학교 학사과 jangmk@snu.ac.kr,
,59,계절학기 명지대학교 수강신청 학점에 대해 알려주세요.,6학점 이내(본교 계절학기 수강학점 포함),
,60,전남대학교 학점교류 신청자격에 대해 알려주세요.,한국항공대학교 재학생 (2학기 이상 이수 + 전체학기 학점평균 3.0 이상),
,61,예비군 훈련기간에 대해 알려주세요.,"훈련기간 : 2024. 5. 20(월) ~ 5. 23(목), 5. 27(월) / 총 5일간",
